"text","label"
"San pham moi den nhanh va dung mo ta","positive"
"Nhan vien tu van nhiet tinh va than thien","positive"
"San pham chua tot nhu mong doi","negative"
"Don hang den cham hon du kien","negative"
"Chat luong sp binh thuong","neutral"
"Giao hang nhanh va dung gio","positive"
"Nhan vien kg phuc vu tot","negative"
"San pham dep va ben","positive"
"Gia ca hop ly","positive"
"Nhan vien kg than thien","negative"
"San pham khong co gi dac biet","neutral"
"Don hang hoan tat nhanh","positive"
"Chat luong sp kem","negative"
"Nhan vien phuc vu ok","neutral"
"San pham nhu mo ta","neutral"
"Giao hang bi tre","negative"
"San pham tot va dep","positive"
"Nhan vien tu van than thien","positive"
"San pham kg dung nhu mo ta","negative"
"Gia ca hop ly va phu hop","positive"
"Don hang nhan dc dung thoi gian","positive"
"Nhan vien kg nhiem vu","negative"
"San pham binh thuong","neutral"
"Giao hang on","neutral"
"Nhan vien phuc vu nhanh nhat","positive"
"San pham bi hong khi nhan","negative"
"Chat luong tot","positive"
"Nhan vien kg chu dao","negative"
"San pham dung nhu hinh","positive"
